,hour,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing,precipType,icon,summary,Year,Month
2328,2010-04-08T00,66.14,53.98,10.0,0.65,0.27,1011.18,6.48,178.0,,partly-cloudy-night,Partly Cloudy,2010,04
2329,2010-04-08T01,64.49,54.18,10.0,0.69,0.58,1011.28,5.54,208.0,,partly-cloudy-night,Partly Cloudy,2010,04
2330,2010-04-08T02,65.42,54.53,9.98,0.68,0.73,1011.94,5.28,226.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2331,2010-04-08T03,63.87,55.52,10.0,0.74,0.63,1011.68,6.72,189.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2332,2010-04-08T04,63.56,57.17,10.0,0.8,0.76,1011.06,7.99,201.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2333,2010-04-08T05,63.43,58.68,10.0,0.85,0.92,1010.77,6.45,196.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2334,2010-04-08T06,62.42,58.81,10.0,0.88,0.4,1009.23,7.83,173.0,,partly-cloudy-night,Partly Cloudy,2010,04
2335,2010-04-08T07,62.21,59.53,9.69,0.91,0.75,1009.41,5.22,190.0,,partly-cloudy-night,Mostly Cloudy,2010,04
2336,2010-04-08T08,62.61,59.67,9.5,0.9,0.76,1010.73,6.67,199.0,rain,partly-cloudy-day,Mostly Cloudy,2010,04
2337,2010-04-08T09,63.98,60.5,9.47,0.88,0.99,1011.48,5.86,213.0,rain,cloudy,Overcast,2010,04
2338,2010-04-08T10,64.25,60.04,9.3,0.86,0.95,1010.69,6.05,196.0,rain,cloudy,Overcast,2010,04
2339,2010-04-08T11,64.38,61.03,9.22,0.89,0.94,1009.77,8.88,171.0,rain,rain,Light Rain,2010,04
2340,2010-04-08T12,65.71,61.31,7.5,0.86,0.95,1009.6,14.34,179.0,rain,cloudy,Overcast,2010,04
2341,2010-04-08T13,64.49,61.29,5.74,0.89,0.98,1008.27,13.67,198.0,rain,rain,Light Rain,2010,04
2342,2010-04-08T14,64.19,62.45,5.28,0.94,0.99,1007.81,11.86,195.0,rain,rain,Light Rain,2010,04
2343,2010-04-08T15,63.61,61.86,3.14,0.94,1.0,1006.17,9.97,223.0,rain,rain,Heavy Rain,2010,04
2344,2010-04-08T16,63.93,60.42,9.78,0.88,0.81,1006.04,14.71,307.0,rain,rain,Heavy Rain,2010,04
